Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,CCU,3043.0,BBI,3042.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Netaji Subhash Chandra Bose International Airport → Biju Patnaik Airport,Domestic
6E,2850.0,CCU,3043.0,BKK,3885.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922,Netaji Subhash Chandra Bose International Airport → Suvarnabhumi Airport,International
6E,2850.0,CCU,3043.0,BLR,3131.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Netaji Subhash Chandra Bose International Airport → Kempegowda International Airport,Domestic
6E,2850.0,CCU,3043.0,BOM,2997.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Netaji Subhash Chandra Bose International Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,CCU,3043.0,DEL,3093.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Netaji Subhash Chandra Bose International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,CCU,3043.0,DIB,3057.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Dibrugarh Airport,Mohanbari,India,27.4839000702,95.0168991089,Netaji Subhash Chandra Bose International Airport → Dibrugarh Airport,Domestic
6E,2850.0,CCU,3043.0,GAU,6173.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008239746,91.58589935302734,Netaji Subhash Chandra Bose International Airport → Lokpriya Gopinath Bordoloi International Airport,Domestic
6E,2850.0,CCU,3043.0,IMF,3050.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Imphal Airport,Imphal,India,24.7600002289,93.896697998,Netaji Subhash Chandra Bose International Airport → Imphal Airport,Domestic
6E,2850.0,CCU,3043.0,IXA,3038.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Agartala Airport,Agartala,India,23.8869991302,91.2404022217,Netaji Subhash Chandra Bose International Airport → Agartala Airport,Domestic
6E,2850.0,CCU,3043.0,IXB,3040.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Bagdogra Airport,Baghdogra,India,26.68120002746582,88.32859802246094,Netaji Subhash Chandra Bose International Airport → Bagdogra Airport,Domestic
